SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
1;50;1;2;2;1;8;21;10;1;9;6;1;1;1;3;3;5
2;53;4;4;4;58;8;1;10;1;4;2;2;1;1;9;4;6
2;52;1;2;2;9;12;1;10;3;6;2;1;1;1;4;2;3
2;67;1;2;2;51;51;1;10;2;10;6;1;2;0;0;2;3
1;50;2;3;3;46;1;1;9;4;4;6;1;4;0;0;6;12
1;36;4;2;4;13;9;2;10;10;12;1;2;1;1;1;1;2
1;43;4;2;4;51;35;2;10;10;4;5;1;1;1;9;3;11
2;36;1;2;4;51;51;1;10;5;13;4;2;1;1;2;4;2
1;61;2;2;4;24;24;2;10;10;4;2;5;1;1;8;4;3
2;56;1;2;2;80;97;1;0;4;5;2;1;4;0;0;4;3
2;61;2;9;3;1;97;2;10;10;5;1;1;7;0;0;9;3
2;45;2;2;4;1;1;3;10;5;10;2;1;1;1;3;2;3
1;69;4;2;4;25;8;3;10;8;6;2;1;1;1;2;2;3
1;42;1;1;2;80;1;1;10;4;13;6;1;1;1;2;2;2
2;45;2;2;5;8;8;1;10;3;11;2;2;1;1;2;2;3
1;64;2;2;4;51;51;2;10;5;4;1;1;2;0;0;4;4
1;30;4;2;4;9;8;3;10;5;15;1;2;1;1;2;4;96
1;51;4;2;4;51;8;3;10;7;11;1;1;1;3;2;3;3
2;28;1;2;4;8;8;1;10;3;11;6;2;1;1;3;3;4
2;34;4;2;4;8;8;3;10;8;10;1;1;1;1;2;2;5
1;23;1;3;4;21;29;2;10;98;7;2;2;4;0;0;8;3
1;75;4;2;5;24;24;3;10;8;11;4;1;1;1;2;1;3
2;42;2;3;4;8;8;2;10;7;11;2;1;1;1;2;3;3
1;58;2;2;4;13;8;2;8;6;6;2;4;2;0;0;3;3
1;53;2;2;2;8;7;2;10;6;6;2;1;1;1;1;1;2
1;36;2;2;2;51;8;21;10;3;13;2;1;1;1;3;3;4
1;31;2;1;4;77;77;1;10;1;7;4;2;1;1;3;2;5
2;55;1;4;4;13;21;2;10;8;13;1;5;7;0;0;5;96
2;57;2;2;4;50;6;2;7;5;4;2;2;1;1;7;5;4
2;19;2;4;4;8;5;21;10;2;5;5;2;6;0;0;6;12
1;36;4;2;4;1;8;2;10;5;13;1;1;1;1;3;4;3
1;51;4;4;4;51;8;2;10;6;7;4;1;1;1;3;4;3
2;65;2;2;4;8;8;2;10;7;11;1;3;2;0;0;4;3
2;61;2;2;2;51;12;2;10;6;11;6;5;4;0;0;1;3
2;38;1;2;2;8;6;21;10;1;13;6;5;1;9;99;5;96
2;53;2;2;4;8;8;2;10;9;7;2;2;1;1;5;3;5
1;52;5;2;5;51;21;3;0;5;7;3;5;1;2;6;6;5
1;54;2;5;4;51;51;3;5;8;4;1;5;4;0;0;6;3
2;78;1;2;2;51;80;1;10;6;11;2;1;2;0;0;9;3
